;text;ciberbullying
53;Ohhh .. I played netball up until I was 16 :) .. Should have kept at it :( .. Now I just play whenever .. What was your proudest moment while playing your sports ?? ..;0
54;"You&#039;re Lame As Fuck .";1
55;how big is ur dick ?;1
56;"Which way does the water flow down the drain or the toilet there in oz? I think it&apos;s the opposite as ours. Cause of the magnetic field.";0
57;the fukk?;1
58;"wow you&#039;re a fucking fake. if you&#039;re tired of everyone talking shit on you formspring  either stop talking shit to them first  or delete the damn thing. gosh  you&#039;re fucking retarded. I forgot how stupid people are these days  and that would be you.";1
59;- Lmbo (vv] Once aqen hayley stank ass startinq with people . aha . don`t waist you`re time on her she ODEEE soft . she qnna run away .;0
60;Talk about a time when you got into trouble at school;0
61;Do you have a favorite article of clothing ? What is it ? .. I have this green Celtics shirt  a size Large I think  so nice and roomy and a fun color of green :];0
62;your still gay and a bitch haha;1
63;ever been made a false promise thagt hurt u?;0
64;"haha i knew youu would [: andd umm this kids a creep  worse than you! bahahaha VV &amp;&amp; woww yourr retarded  lol [[;";1
65;"Holy .. I didn&apos;t see anything on Police 10/7 lol .. But  I bet that&apos;s not the only reason why they put that scanner on him lol ..";0
66;:] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?;1
67;ur mad ugly.;1
68;!m@ b3 pu++!n d!$ pu$$zzy 0n y@ $!d3 burn$ !n @ $3c0nd. @l$0 ! D0 d@ b3$+ d33p thr0@+ !n d@ vv0rld. ! C@n $h0v3 13 !nch3$ d0wn m@ +hr0@+ @+ 0nc3. ! @!n+ ly!nq;1
69;"i&#039;m good ty :)  better now aha :)  up to much ? xxx";0
70;Have you ever used being drunk as an excuse for doing or saying something?;0
71;"hmmm like maybe 4 or 5 but you say hey &amp; what not";0
72;They're called skinny jeans. NOT make you skinny jeans.;1
73;Would you rather swim in a pool or the ocean?;0
74;have u ever known anyone who didnt get a diamond engagement ring - like they got a gem stone instead- like a emerald etc?? what was it?;0
75;"and who are the &quot;hot chix&quot; you are talking about? ;)";1
76;"haaha cutee. yourr callingg mee ahh pussy when your bitchass wont leave a name right? you wanna get down  im telling you im down. one on one. letss goo ( : FAKE BITCH&#039;<333";1
77;thx 4 not talking to me anymore.;1
78;i think i answered that before or something like it.. someone who is like me :-) someone i share things with.. id love some respect as well.. haha yea.. sounds pretty good to me.. :-);0
79;If you won a million dollars what would you do with it?;1
80;"I know  I don&apos;t know what the heck I just didded either lol .. I&apos;m just here to spam the blipp out of your inbox  like I&apos;ll do with Sir Spectacular soon :) .. SoOo  Chu doing *winks*  .. Yeah  I just said that as if I was Joey from Friends lol ..";1
81;Have you ever eaten chocolate in bed?;0
82;"A good friend of yours recently got with a controlling BF/GF. Their BF/GF doesn&#039;t want them spending time with you and forbids them to see or talk to you  and your friend agrees to not talk to you. How do you react? What do you do? D:";1
83;How often do you guys camp ?? ..;0
84;"I&apos;ve got a whopping great penis  can I put it inside of you?";1
85;You have 50$ in pocket money. With this money you are to go to your fav. store  how far will 50$ get you?;0
86;You suck dick.;1
87;Ur face is nasty;1
88;have you ever done anything illegal? and if so what was it?;0
89;are you bulimic?;1
90;Do you wish someone was with you right now?;0
91;"If an orange is orange  why isn&#039;t a lime called a green or a lemon called a yellow?";0
92;Do u like it when girls play w/ ur balls ?;1
93;"Would you eat a pound of cockroaches for a million dollars? You&#039;d only get the money if you ate the entire pound without puking. Would you succeed?";0
94;holy crap... nanu destroyed your wall... lmao;0
95;who asks people if they know me why do i see it all the time who is it that cares;1
96;Do you do what needs to be done regardless of the consequences;0
97;how long have you had formspring for?;0
98;What's the weirdest thing you've ever eaten?;0
99;your picture is damn sexy;1
100;If you were friends with someone on Facebook/MySPace who constantly changed their status from  u201cI am at homeu201d to u201cI am at worku201d and then back again. Over and over. Incessantly. Would that annoy you? Would you say something to them?;0
101;Naw nee naw nee naww neee;1
102;i reckon i can beat u in swiming....;1
103;Screw the people who are dicks to you. :D;1
104;parts of it were based on events in your life  right? :-);0
105;"Lmfao wow that super made me lol foreal=) &amp; omg should I post that last thing u sent me?lol &amp; mhmm u probably wouldn&apos;t want to post this 1 thou lol I can&apos;t stop laughing that was too funny &amp; sad kinda=)";0
106;hahaha LOL will have it in mind. Is it true you british youth drink it straight from the bottle? On this side of the pond we mix it with some juice (sometimes);0
107;"What was the best job you&#039;ve ever had?";1
108;"Guess who thisss is?? r I am not fakee AT ALL  r Rachel and Stephhh  r Are one of the best sisters  r In thaa WORLD. r I&apos;m begging you r HOP OFF r I don&apos;t even knoww you. r We never had a damn conversation. r Go find something better to do with yourself.";1
109;if love is blind .............. why is lingerie so popular ?;0
110;How can sweet and sour sauce be sweet and sour at the same time?;0
111;fav breakkie;1
112;"do you own a vibrating toy ;)";1
113;PLAYER !;1
114;Does berlesque dancing interest you more than stripping does?;1
115;You slip and fall in front of your crush/GF/BF. He/she comes over to help you up. What do you say to them? How do you calm your embarrassment [assuming such a situation would be embarrassing for you]?;0
116;You suck =];1
117;why are you stupid;1
118;i think we can work together in solving mysterys lol dont u think?;0
119;"dang i&#039;m not rollin thaat kind of cash! but a question  what&#039;s something crazy you want to do before you die?";1
120;If you had the choice would you like to be human  or a demi god ?;1
121;how often do you cut your nails?;0
122;pee-pee!;1
123;wel dam u must really lyk dat gurl;0
124;"Everyone should ask my best friend  A-Bizzle questions.  She doesn&#039;t have any followers!  :)  http://www.formspring.me/TheOnlyABizzle";0
125;dude  ewwwwr go home roger;1
126;yes ik! haha do u love me?;0
127;"did u watch the movie fear ever? how wud u react if a bunch of guys came over n tried to get in ur house like that? like drilling thru walls etc.. WE&apos;RE COMING IN!   ?";0
128;Racooonn stayy off maaa shitt please;1
129;no im serious you wear too much makeup you should calm it down;1
130;Did u now tht ur ugli;1
131;If the FBI breaks your door down do they have to pay for it?;0
132;abcdefghijklmnopqrstuvwxyz;1
133;"What&#039;s nuisance yesterday?  haha this was an epically pathetic knock  knock joke... :-(";0
134;bryans uglyyy!! dum hoe 5/19/10 aha yu guys make a ugly couple!;1
135;Were you ever questioned by a police officer did they make you feel nervous or relaxed?;0
136;NIGGGAH ISZ YUH CIRCUMSIZED;1
137;I got hooked at burrito place too. They love an Asian speaking Spanish to them. Lol free food!;0
138;If you give money to charity  which one do you usually give to?;0
139;your a virgin O.0;1
140;"your boyfriend is only ugly ass mexican  like I&apos;ll give you props for going out with a junior  but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road";1
141;are yuu a vergin;1
142;i am done asking you whorish questions. xD rofl.;1
143;"Why is it called a &quot;drive through&quot; if you have to stop?";0
144;fuck yo shit homie!;1
145;"No no no(: FUCK the people who are dicks to you you(; jk";1
146;If you had to be named after one of the 50 states  which would it be? (: Haha.;0
147;Smileyyyyy :D Dood these haters maynn. They bee trippin' <3 DriDri;0
148;"Are you a race car fan?have you ever wanted to own a race car of your own?&amp; if yes how would you design it?&amp; would it be anything like you would see on the show called &quot;pimp my ride&quot;?or even better";0
149;ROFL you fail! :);1
150;How's having like no friend's ?;1
151;"idk why you let austin take ur v  i mean he&apos;s fucked a million other bitches hahahhah it aint lik it ment anything to him";1
152;"you&#039;re fucking pathetic";1
153;Hey aujala r;1
154;Hey bitch boobs don't count when the only reason you have them is because your FAT!!!;1
155;obese;1
156;"Why do people say&quot;For pete&apos;s sake?&quot; Who the hail is pete?";0
157;Are you ahh virqin?;1
158;How hard is it to get voted as your best stalker? **takes out pen and paper**;1
159;I WANT DAT DICK;1
160;Do you usually bring home leftovers after eating out?;0
161;o ok brah i love those songs on your myspace profile;1
162;bastard is term of endearment;1
163;"I&#039;m finished wanking ;) hahaha. so whats your favourite car?";1
164;that wasnt me. why would i say i love you?;1
165;What is the craziest thing you want to do?;0
166;Yeah  and thanks for having my back the next time someone tells me their going to kill me...honestly...no one in my life has ever told me that  until yesterday.... by XoXoAshleyXo;1
167;! w@n+ y0 b!q d!(k $uRf@(!n m@ l!pSz$;1
168;id say they probably deserved to be torn down if it was done by you. your the nicest person i know  dont let anyone tell you other wise. even that LITTLE VOICE IN YOUR HEAD that can sometimes put you down. because trust me  they clearly dont know you. <3;0
169;FUk you yall betches!!;1
170;Your face is nastyy;1
171;would you ever do MDMA with a 16 year old?;0
172;"Wow you&#039;re fucking stupid. You told a girl whoo had her info showing &quot;Show your face anonymus&quot; and your comebacks fucking suck. &quot;Fighting over the Internet is like being in the special olympics  even when you win  you&#039;re still retarded.&quot;";1
173;how big is your penis? -@rigelATTEMPTS n__n;1
174;yo banging that chick tonight?;1
175;because i dont like to talk much ahahaha;1
176;"that&#039;s much better!";1
177;Which do you prefer ? Pen or Pencil / optomist or pessimist / sun set or sun rise / wall-mart or k-mart (:;0
178;"sorry no more &quot;me&quot; hints... i follow you but you don&#039;t follow me (on twitter that is) im from the U.S. (New Jersey to be exact) you dont know me in real life im a huge naomily fan(but thats not much of a hint now is it?) ;-) my (twitter) name starts w/&#039;t&#039;";0
179;Your lying to yourself if you think changing ur appearance and getting tattoos will make people not recognize how ugly you are on the inside. enough said;1
180;"If I could fly  I would&#039;ve gone to __________.";0
181;where do you wish you were right now?;0
182;so are you going to tell her;1
183;Do you take a lot of pictures?;0
184;i talked to her this mornin at about 730am;1
185;Why do psychics have to ask you for your name?;0
186;"Rate me: (1)Crazy (2)I&#039;d marry you (3)Talkative (4)Sarcastic (5)Lovable (6)Clubhead (7)Moody (8)Dumb (9)Spoiled (10)Mouthy (11)Random (12)Hot (13)Funny (14)Fit (15)Amazing (16)Beautiful (17)Cute (18)Rude (19)Simple (20)Strong (21)The Best (22) my bitch";0
187;I DO SUPPORT YOU I JUST WISH YOUD BE DATING SOMEONE ACTUALLY CUTE.. NOT JUST DATING HER FOR HER BIG ASS.;1
188;aint nothing like the real thing...u know that song by aarindna;0
189;have you?;1
190;"oh darling how did you guess??haha many of them have been me but not all (some are just to dirty to be me  not because of im not dirty ;-) but i just openly dirty enough to say those things haha)lol if u could live anywhere  where would it be? Love Tori<3";0
191;You have to change the booking .. Oiii! .. You need to kick the persons butt who is supposed to be going to dinner with you lol .. Silly rabbits! .. What was the occasion ?? ..;0
192;Haha I see you guys are getting along :);0
193;not even michaela?;1
194;whose betaa www.formspring.me/KayDollBitchh or www.formspring.me/rubinathy15;1
195;If you could be an alien or predator which one would you be and why? (Alien and Predator wise from the movies.);0
196;No you wont.;1
197;"I just noticed that your picture was Batman. I&#039;m slow lol. How was your day ?";0
198;I am done spamming for now. I am going to get a shower and relax for a bit I will spam more tonight! <3 yas!;0
199;If a chronic liar tells you he is a chronic liar do you believe him?;0
200;whats one thing you strongly about a male and about  a female;1
201;dont fucking talk to victor!;1
202;ill fight you bitch;1
203;What color should I get my braces?:/;0
204;What Did You For Lunch? : ];0
205;"What is the weather like right now for you? Its windy  around 70&#039;s in direct sunlight here :]";0
206;!m @ q!rl d03 ! $0 ju$+ cum @n l!(k m@ cum n m@ pu$$zzy;1
207;did alix suk yu up;1
208;so ... sober sunday  messed up monday  trashed tuesday  wasted wednesday  thirsty thursday  fucked up friday  shitfaced saturday  whats your favorite day of the week;0
209;is there any1 u wished lived closer  or miss seeing?;0
210;U 3xp3c+ m3 t@ d0 @ll d@ work? N!qq@ pl3@$3 3@+ m@ pu$$zzy;1
211;"Do you watch porn? Do you type in a certain thing in the &quot;search&quot; bar when you are looking at porn? What do you type in?";1
212;my bff is hysterical.. she is flipping out n trying to tell me where she is guna put all her stuff in MY house.. shud i let her? or do i tell her- her new designated areas?;0
213;How many licks does it take to get to the center of a lollipop?;0
214;i fucked anthony u dumb hoe bitch and just to tell u im hesica;1
215;Would yo ever make love in the ocean?;0
216;i so tired Kelly  im pratically asleep but im at the wrong end of my bed lying horozontally across it. ceebs to move. WAKE ME UP GIRL!! :D;0
217;Are you afraid of clowns?;1
218;"Eat my cabanara ;)";1
219;How big of a flirt are you?;1
220;but your fake!!;1
221;oh get over yourself. i dont look everyday  it sends me an email every time you answer.;1
222;rofl xD r then let me suck it ?;1
223;i dont know you  but you seem like a bitch;1
224;i wish they all can be australian girls...;1
225;"What was the best advice you&apos;ve ever received?";0
226;r u retarded ? :P jking;1
227;do we have serious problems or do you think the problems have been serious on us? o.o;0
228;Do you prefer to be blissfully unaware? Or know what going on though it may hurt to know?;0
229;how many babies have you ate?;1
230;"What do you think of Christina Aguilera&#039;s new vid for &quot;not myself tonight&quot;?";0
231;"Bitchhh this ain no trickk jus know tht wood be yo momma ha momma and dare you to step to her agen betchu you won&#039;t win TRANNY";1
232;suki suki five dolla for da eggrow;1
233;"What&#039;s the nicest thing someone&#039;s ever done for you?";0
234;Done spamming for now. Leave me things? Hint  hint  wink  wink  say no more? LMAO! <3;0
235;"You&#039;re really rude. What the heck is your problem?";1
236;"What is cool&amp;hot  and only as smart as the person using it?";0
237;Im a guy haha fag;1
238;"do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.";0
239;I LUHH DHAT PIC NEGRO ITSZS SEXY LEMM3 SUCK Y0 D!K????;1
240;Is there anything that can make you sick just by smelling it?;0
241;"LMFAO  you&#039;re fucking creepy &amp; must have no friends nor life  if you have to create muliple formsprings of yourself  saying theyre fakes. Quit thinking everyone wants to be you  &amp; they copy you. No one would fake you. I&#039;m sorry your such a pathetic poser.";1
242;I think u nd Justin should go out. I no u like him alot tabi;1
243;if i saw you without clothes i would baite as in master;1
244;Bryans actually rlly ugly lol but w/e everyone has there own taste;1
245;I meant out of life. What do you want to accomplish out of life?;0
246;was you born locally to where u now live ? if not how many miles away were u born *estimate*;0
247;u betta noe who it is:] and i dont care anymore kk:] he be all yurs... ilu;0
248;Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr  fuken boobs if she wants don't be jealous cuz yeww prolly don't gawt any it's ok tho and bitch wen she sayz write to her she;1
249;what were you in middle school?(emo/prep/jock etc?) ya know. lol;0
250;Really? Because i know many people who dont like you. Most of them claim to be your friend. Sooooo  stfu :);1
251;Did you hangout with moises today  because i saw his status and it said your name?? and if you did  how do you even know him like your in 7th grade for crying out loud???;1
252;oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that... i dare you to watch it and not look away are you up to the challenge?;0
253;What year do you or did you graduate high school?;0
254;"heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain&#039;t shit besides an ugly bitch. &amp; beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  &amp; stop hatein on peoples pages before i go off on your ugly ass.";1
255;Why r u such a bitchh??? I hate u I'm gonna kick ur ass whore!!;1
256;If you happen to use Facebook/MySpace/any other site like it  would you ever post a status update/bulletin/note/blog about your religion and why you believe in it? Why or why not?;0
257;ok really you put stupid skank  smd  or haha for your comebacks get some new ones..your just embrassing yourselfr -elizabeth u062a rodriguez;1
258;fuck the lakers! GO CELETICS;1
259;GO TO HELL xD;1
260;http://www.formspring.me/KUKLUXKLANOWNZ    YELL AT THIS NIGGUH AND PASS THE LINK ON;1
261;"haha don&#039;t worry i have justin bieber&#039;s album to :)";0
262;you are the only exception :D im so random lol;0
263;What is your favorite flavor of water?;0
264;is SKYPE safe? any bad experiences? my bro n his friend use it- cuz ones in Germany - and the other here USA. and so i need to know- is it safe? cost? any info wud help!;0
265;Iloveyou:D  suck my malteaser. x;1
266;ouchiesss... i just bit my tongue :(........ i wonder how many of you evil lot will laugh  probs most of you;0
267;"If Your Going To Be Rude &amp; Give Smart Ass Answers; We Will Unfollow You. :]";1
268;I LOVE SOCKS...... do you have a fave type of patterned sock? i love stripes  im acc addicted to buying them haha;0
269;B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Y0 3@R S0 H@RD DAM BRUH I BUST3D A L0@D 0F CUM !N MA M0MMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Y0 VA@GIN@ T0 BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE;1
270;"haha im on yuur formsprinng juust lookinnq and im wonderinnq why people asked yuu questions abouut me   hahaha anywaays yuur qorqeous byee(;";0
271;"stop leaving stuff like &quot;fake&quot; on your own formsrping. dead give away dumbass. SUCK A CUNT";1
272;What is one thing you will never do even if paid too?;0
273;she sucks. she can go fuck herself. xD;1
274;"Today&#039;s friday  what do you have planned? and will there be alcohol?";0
275;but it says right above that i cant :(;0
276;i squirt sperm to your pictures;1
277;http://ihatejade.com/?id=s04t0k8djbpnf8wo9bzvf566wo4vh9;1
278;IDGAF LAME BITCH;1
279;u r such a conseded biatch u sure every body likes u u luv puting every body down and u tlk about ppl and when some body else dose it u make dem feel bad get a life;1
280;"You&#039;re supposed to back me up when I threaten to kill someone.";1
281;who can you talk to about anything? like sex/ or other personal topics that you cant with others?;1
282;what do you think are the best 2 qualities for someone to have?;0
283;Have you ever dated someone out of your race?;0
284;How about your favourite twitter friend/friends ? :);0
285;You are on a flight from Honolulu to Chicago non-stop. There is a fire in the back of the plane. You get enough time to make ONE phone call. Who would you call?;0
286;Yeah next time she threatens to kill me  stand up for her?? =/;1
287;i have a headache D: what would you give me  if i came to your door and told you that i had one?;1
288;close your eyes. stretch you right hand out. whats the first thing you touch?;0
289;"What&apos;s a saying you say a lot?";0
290;Stop asking yourself questions;1
291;yakka?;1
292;Do you know how many people your mom has slept with?;1
293;How do you feel if I walk into the bathroom when you are in the middle of using the facilities?;0
294;Feel Free Too Spam me my inbox is feeling lonely!! ):;0
295;i ate snails and frog legs tonight... i now consider myself to be a rather advernturous person... in terms of food... :-);0
296;Please stop harassing me on my formspring :(;1
297;"&quot;I have one for your information&quot; WTF. That&#039;s MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.";1
298;zoomike  zoorissa  zoonata idc.=p;1
299;"Don&#039;t call her a bitch vv";1
300;how many dicks fit in your vagina?;1
301;what do you think could cause you to explode?;0
302;why do you think Tom Cruise is following you?;0
303;ilovesimoa. :3;1
304;she opened up her mouth ;1
305;"ahahahhahahahhahahah vv aweee' poor arron i &quot;broke his heart &amp;7 gave him a heart attack&quot; ahahahahhaha<3";0
306;why are you still alive?;1
307;WuT U FaVEs TyPE aSIaN????????????????????????????????????r;1
308;which celebrity do you think  is the most overrated?;0
309;what is a sex position that you want to try?;0
310;Does your first love still hold a special place in your heart?r;0
311;What is your absolute favorite candy ? I have a slight addiction to swedish fish... Mm you can not tell me it gets better than that (:;0
312;Who asked how many times you have been fucked?????????;1
313;http://thatsnotsexy.com/   sexin!;1
314;Ill take you to the turban storee :L;0
315;...If you want to go back to Idaho so bad why dont you??? ... Texas doesnt want you here anymore than you want to be soo .. just leave!!!;1
316;girl you know   i   i   i loveee you :);0
317;Is your little sister retarted or what?;1
318;i wud like to thank you for the sound advice bout the person who wont leave me alone - i think ur right and i didnt see it that way- a person doesnt usually get such good advice on here- thank you very much! i appreciate it!;0
319;What hair and eye color do the majority of your friends have?;0
320;What do you think is your most attractive feature?;0
321;yo mikeey why did you and zurii break up;1
322;Ever seen a therapist?;1
323;whwhwhwhoa just slow down. huh!? what do you mean they blew up the death star? f*****ck! F*ck! F*ck! F*ck! F*ck! F*ck! whos they? what the hell is an aluminum falcon;0
324;Who is a weirdo who spells time wrong haha;1
325;Have you ever seen mike hawk? id really like that to change baby =);1
326;"Aree Youu Gaayy;)x";1
327;MY sweater is pretty warm  just saying.r r r c:;0
328;What school subject did you like most and why?;0
329;i love me some jordann  fuck those shittalkers (:;1
330;whats the most surprising thing thats happened to you;0
331;give me head;1
332;When u look @ mee whats the firsst thing that comess to mindd ?;1
333;ASHLEYBBY. Why are you so fantastic? ^.^;1
334;"dearest babydoll  vv Stop trying to start shit &amp;&amp; grow the fuck up. I mean really? Is this what you do for a living is ask people if they're fake &amp;&amp; ruin peoples lives? Grow some balls  grow up  &amp;&amp; stop starting stuff(:";1
335;Being an atheist means we dont need to believe. We choose to believe either because their is no proof or because god has done nothing for us. We may not believe in god but we do believe there is good reason to not believe he exists.;0
336;what is something from your past that you wish you still did? that you are glad you stopped doing?;0
337;Besides  the chick who's starting shit won't back it up and isn't even saying who SHE is.;1
338;im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head;1
339;YO MOM CHEST HAIRS love @TaylorStack :);1
340;i really want two double cheese burgers right now.;0
341;how long have you gone with out bathing?;0
342;What do you find to be ignorant in most peoole?;0
343;I still wanna F*ck them up!!;1
344;Is it true you kissed that ugly Cody kid!?!;1
345;If everyone got what they wished for do you think the Earth would be a better or worse place?;0
346;What was your first impression of me?r;0
347;lol how was seaworld ? park was good :) ended up getting face painted and playing hide and seek :L xxx;0
348;"`` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&#039;s for making my day ;D";1
349;What kind of mood are you in?;0
350;lol :) xxx;1
351;Lol .. Being attacked by your sister does count as being attacked by anything lol .. Have you ever fought physically (seriously) with any of your siblings ?? .. And  did you kick ass or eat dirt lol ?? ..;0
352;If an energetic midget sloth decided to steal your ipod and pee on it while you were sleeping  what would you do when you woke up?;1
353;You HAVE to and MUST answer this! would you rather.. drink 10 year out of date milk or lick a camels foreskin then give matt wilson head. :);1
354;You find a background pic for me yet?;0
355;Hoe;1
356;Real outlaw? Nice(: Bad to the bone?;1
357;"what is the best beach you&apos;ve ever been to?";0
358;I felt that first shot of patron go through all my muscles. Lol;0
359;Has anyone ever taken a picture of you while you were asleep?;0
360;hmmm i dunno bout goin to nyc now... 3 days without u??? :(;0
361;YUH FUCKIN S3XI ASZ LIP BITIN NIGGA;1
362;that stupid bitch amber that went to our school tries to act like she ran our fucking school! we should put that bitchx back in her fucking place!;1
363;"expand of the &#039;would you?&#039; question...? :-)";0
364;Is There Anyone You Wish You Never Met? -_-;0
365;"Geez  that&#039;s all the way in Ohio.";0
366;like who?;1
367;I hope yhu dnt thinkkk yhur prety casue yhur not!;1
368;ermm no its not rigel who is rigel? o.O;0
369;Your imagination is kinda____right now (fill in the blank);0
370;"HEY BETCH. wanna not be a lil slut?! &amp;please oh lordy STOP CUTTIN EYES AT ME!r cus she want me dead (;";1
371;"Do you like banana nut bread? I&#039;m eating some right now. So delicious. :]";0
372;if the shays dnt get me first=p;0
373;no how bowt yhu ansa my muh fhuckin qwestion andd not wit anotha qwestion . dayyum yhu so dayyum difficult;1
374;"im a guy &quot;why cant we just fuck and get it over with girl?:]&quot;";1
375;Why doy ou think we are greedy? Is this by nature? Or do we learn it?;1
376;Did you watch Gok Fashion Fix this lovely sunday morning ? i did  personally i thought it was shit.;1
377;"What&#039;s something random that you&#039;re currently loving?";0
378;but u HAVE to go back out with himm.. he dump you ?;0
379;your amazing  lovely  gorgeous + much more :) <3;0
380;ew VVVVVVV;1
381;ok this comes with a warning label first... my cousin has slept with 479 men - does this make her a whore/slut? is this number alot? would she have been better to get them to pay since she basically gives it away to anyone she meets in a bar?? ur opinion?;1
382;you might think im evil but.. me and my mate were sitting in the corridors at school facing each other with our legs out.. this girl that we know walked past and she jumped over but we both lifted up our legs and she went flying like superwoman  it was so;1
383;I think that its Nick Young saying all that stupid shiz;1
384;have u ever met anyone who lives a lie?;0
385;do you like rings  necklaces or bracelets?;0
386;"I&#039;m listening to music too  what are you listening at?";0
387;Hahaha   whyy yu callin him fag ? Lmfao . vvv;1
388;hello good morning - diddy  dirty money;0
389;WHORE;1
390;"hahahaha awwwwww i miss you too!!! wishing you were here  we would be having such a good time <3 anyway we won&#039;t get to chat tonight:-(so check out my pictures on facebook<3love you";0
391;How do you think the Obama administration is doing so far?;0
392;Ur facebook is a fake  cos I saw 5other facebook with the same but diff last name and same pics and 1 has proof;1
393;whats your religion? will you raise your children with the same religion?;0
394;damn go jack off watching a monkey DAMN;1
395;"Soooo Maurice ;))) boom boom in my humble abode or ur house???;)";1
396;have you ever seen a snow leopard or a red panda?;0
397;uhhh where am im at in this random azz quesiton place how to i get out of here???;0
398;are any of your parents addicts? of what?;1
399;I am going to go to bed now. I still ahve alot of stuff on my mind. Ehhh... well have a good/day. <3 Leave me things.;0
400;wears the weirdest/most interesting place a person has actually LICKED you????????;1
401;Sex sex sex spam spam spam;1
402;Wood you smash tevon k33n???;1
403;haha ashleigh ur such a rebel !!;0
404;ay amor divino...pronto tienes que volver a mi;0
405;"If you&#039;re in a really heated make-out session with a crush/BF/GF and right before you have sex [if you&#039;re a virgin imagine you&#039;re ready to do it] you both suddenly realize you&#039;re out of condoms  do you go through with the sex? Why or why not?";1
406;I love your bio  thats like my life story.;0
